,Product_ID,Average_rating,Minimum_ratings,Maximum_rating,ONE_Star_Rating,TWO_Star_Rating,THREE_Star_Rating,FOUR_Star_Rating,FIVE_Star_Rating,Total_ratings
0,7508492919,4,1,5,1,1,4,13,21,40
1,7532385086,3,1,5,2,1,1,2,2,7
2,7887421268,3,1,5,3,1,1,2,6,13
3,8199900164,3,2,5,2,1,1,2,2,4
4,8288853439,3,1,5,6,3,2,6,6,11
5,8288862993,3,1,5,6,2,1,2,15,32
6,828886922X,4,3,5,3,1,5,5,3,6
7,8288878881,4,1,5,4,2,1,1,26,44
8,9578085451,4,3,5,2,5,1,2,2,4
9,961301375X,3,1,5,5,1,1,3,8,13
10,9638762632,2,1,5,1,1,4,1,2,11
11,9652676748,3,2,5,2,2,2,2,2,5
12,9658231969,3,1,5,1,1,1,14,3,6
13,9678315173,4,4,5,1,1,1,2,5,7
14,9707716371,4,1,5,2,2,1,2,36,64
15,9707716436,4,4,5,1,1,1,2,3,5
16,9713957334,4,2,5,1,1,2,1,3,4
17,9791151504,3,1,5,2,8,2,1,2,4
18,9837282037,4,3,5,1,1,4,1,5,7
19,9838427853,4,1,5,1,1,6,4,14,21
20,9861247327,4,3,5,17,1,5,1,3,4
21,9861936831,4,3,5,2,1,2,4,6,9
22,9867853350,4,3,5,1,1,2,2,5,7
23,9966685472,4,1,5,1,2,1,2,4,6
24,9981710008,5,5,5,1,2,3,4,2,2
25,9981724580,4,3,5,3,1,2,5,3,5
26,9983744066,3,1,5,2,1,1,1,5,10
27,9984976505,5,5,5,1,11,1,2,5,5
28,9985039998,3,1,5,1,2,1,3,3,5
29,9985538250,4,1,5,1,1,1,1,5,7
30,B00005UK9X,5,5,5,1,1,19,3,2,2
31,B00006JPBY,3,1,5,1,8,1,1,7,18
32,B00006Z95D,2,1,5,7,1,1,5,1,4
33,B00009AKWF,3,1,5,1,2,1,1,9,21
34,B00009J5VV,3,1,5,1,1,2,4,4,8
35,B00009J5VW,4,4,5,13,1,3,1,1,3
36,B00009RUHV,5,5,5,1,3,1,11,1,1
37,B00009WCAP,2,1,5,2,8,1,1,6,40
38,B0000DIDAH,4,1,5,1,1,1,30,6,13
39,B0000DYUZO,4,4,5,1,1,1,2,9,10
40,B0000E3GWH,3,3,5,1,1,3,1,1,5
41,B0000SX2U2,3,2,5,1,1,15,1,3,6
42,B0000SX3BK,4,3,5,3,2,1,2,2,6
43,B0000W0SHS,4,4,5,1,15,3,7,7,8
44,B00017LRCC,4,2,5,4,2,1,1,3,4
45,B000196C2A,3,1,5,2,2,1,3,3,8
46,B0001J3UWU,5,5,5,4,2,2,5,2,2
47,B0001MLAF6,1,1,1,1,2,22,4,2,1
48,B0001W05IE,3,1,5,1,1,1,14,17,5
49,B00020H1T6,4,1,5,1,4,4,2,9,29
50,B00020KCBA,4,3,5,3,1,1,1,6,11
51,B00020KCBK,4,1,5,13,1,2,3,2,9
52,B00023DS04,3,2,5,11,1,6,1,1,4
53,B000246XQE,3,1,5,1,1,1,1,2,9
54,B0002BG6OG,4,3,5,1,1,6,1,1,3
55,B0002F7I94,3,1,5,3,1,3,6,2,4
56,B0002FO5XG,5,5,5,5,1,3,17,1,2
57,B0002IBRBG,3,1,5,1,6,1,3,34,2
58,B0002KRC5Y,4,1,5,4,1,1,1,1,48
59,B0002NM98Q,3,1,5,1,2,1,2,62,4
60,B0002SYC5O,4,1,5,1,1,2,2,2,129
61,B0002T58BA,3,2,5,1,2,1,4,2,4
62,B0002VIXOC,3,2,4,2,1,2,1,2,3
63,B0002W2H2K,4,3,5,1,1,1,4,11,4
64,B0002Y2J1C,3,1,5,1,1,1,59,19,5
65,B0004EGFAG,2,1,4,1,1,5,2,1,3
66,B0004OPNTA,2,1,5,1,1,1,9,5,36
67,B00050WQ1G,4,3,5,1,1,1,3,3,29
68,B000621SN0,3,1,5,1,1,1,2,1,4
69,B00063DKVC,4,2,5,2,1,1,5,10,9
70,B000652SZO,4,4,5,3,1,1,4,1,8
71,B0006852GS,2,1,5,1,2,2,1,28,4
72,B0006B3QY0,4,1,5,4,2,1,5,4,16
73,B0006FLA80,5,5,5,1,2,1,3,3,1
74,B0006TIA8Y,4,1,5,2,1,1,1,5,46
75,B0006TIRZA,4,4,5,1,1,1,1,2,6
76,B0006VXEE2,4,4,5,3,5,1,5,3,4
77,B0006ZIEK2,3,1,4,2,3,1,4,1,4
78,B0007LA92G,5,5,5,1,3,1,3,3,5
79,B0007P4L5S,3,1,5,1,4,2,1,5,4
80,B0007PJPV8,4,4,5,2,1,1,1,14,4
81,B0007T27B4,2,1,5,2,1,1,1,1,6
82,B0007T9IUW,4,2,5,1,1,1,1,2,4
83,B0007UC5U6,3,1,5,1,2,2,1,2,18
84,B0007WWAGI,3,1,5,3,1,2,3,1,58
85,B0007XY66O,3,1,5,2,2,1,2,1,8
86,B00081GX8O,2,1,5,1,1,1,2,5,11
87,B0008EUE7W,3,1,5,1,1,1,1,23,5
88,B0008F6QE6,3,2,5,7,1,1,1,105,5
89,B0008JISMU,3,1,5,1,1,5,6,21,6
90,B000982UY2,3,1,5,6,1,3,2,2,9
91,B0009AU6W8,4,1,5,1,2,4,4,1,34
92,B0009B0IX4,4,1,5,1,1,1,2,2,214
93,B0009F1ST8,3,3,4,2,1,2,1,4,3
94,B0009FCAJA,3,1,5,1,1,2,3,3,47
95,B0009H7QKQ,3,1,5,2,2,1,2,5,3
96,B0009MYS9S,3,1,5,1,1,2,1,8,7
