,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.72079998254776,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['domestic', 'workers', 'stag', 'dharna', 'ag', 'office', 'thursday', 'demand', 'comprehensive', 'law', 'better', 'work', 'condition', 'compensation', 'domestic', 'workers', 'lose', 'job', 'implementation', 'urban', 'employment', 'scheme', 'protest', 'organise', 'umbrella', 'sewa', 'union', 'national', 'agitation', 'change', 'bring', 'union', 'government', 'labour', 'laws', 'inaugurate', 'protest', 'sonia', 'george', 'general', 'secretary', 'sewa', 'union', 'say', 'dharna', 'protest', 'domestic', 'workers', 'statement', 'sewa', 'union', 'say', 'domestic', 'workers', 'section', 'workers', 'lose', 'job', 'provide', 'essential', 'service', 'keep', 'away', 'workplace', 'ground', 'virus', 'carriers', 'labour', 'bill', 'pass', 'parliament', 'cover', 'domestic', 'workers', 'ms', 'george', 'say', 'code', 'social', 'security', 'define', 'private', 'home', 'establishment', 'define', 'employer', 'till', 'workspaces', 'domestic', 'workers', 'recognition', 'able', 'highlight', 'violation', 'labour', 'right', 'space', 'apprehensions', 'domestic', 'workers', 'entitlements', 'prove', 'worker', 'union', 'government', 'argument', 'universalise', 'social', 'security', 'benefit', 'say']"
1,1,5.0,0.9894000291824341,"farmers, india, bill, health, farm, price, protest, market, patients, care","['time', 'champion', 'rafael', 'nadal', 'open', 'belarus', 'egor', 'gerasimov', 'open', 'round', 'french', 'open', 'start', 'sunday', 'sept', 'gerasimov', 'finalist', 'tata', 'open', 'maharashtra', 'early', 'year', 'lose', 'jiri', 'vesely', 'draw', 'unveil', 'thursday', 'spaniard', 'place', 'half', 'draw', 'open', 'champion', 'dominic', 'thiem', 'potential', 'semifinal', 'opponent', 'thiem', 'tough', 'start', 'marin', 'cilic', 'find', 'quarter', 'alexander', 'zverev', 'gael', 'monfils', 'djokovic', 'seed', 'head', 'half', 'open', 'swede', 'mikael', 'ymer', 'daniil', 'medvedev', 'potential', 'opponent', 'serb', 'stefanos', 'tsitsipas', 'matteo', 'berrettini', 'round', 'quarter', 'stand', 'match', 'round', 'andy', 'murray', 'stan', 'wawrinka', 'half', 'fact', 'brit', 'match', 'roland', 'garros', 'wawrinka', 'gruelling', 'set', 'semifinal', 'win', 'women', 'seed', 'simona', 'halep', 'lead', 'half', 'elina', 'svitolina', 'second', 'seed', 'karolina', 'pliskova', 'pair', 'australian', 'open', 'champion', 'sofia', 'kenin', 'halep', 'vs', 'sorribes', 'halep', 'play', 'spain', 'sara', 'sorribes', 'pliskova', 'qualifier', 'serena', 'williams', 'half', 'halep', 'svitolina', 'start', 'fellow', 'american', 'kristie', 'ahn', 'rematch', 'open', 'round', 'possible', 'rematch', 'potential', 'fourth', 'round', 'clash', 'year', 'old', 'winner', 'major', 'victoria', 'azarenka', 'worthy', 'finalist', 'new', 'york', 'recently', 'gauff', 'vs', 'konta', 'excite', 'contest', 'year', 'old', 'coco', 'gauff', 'meet', 'semifinalist', 'johanna', 'konta', 'round']"
2,2,3.0,0.9150999784469604,"police, test, district, court, report, health, patients, september, positive, accuse","['maharashtra', 'report', 'new', 'covid', 'case', 'thursday', 'total', 'case', 'tally', 'active', 'deaths', 'state', 'toll', 'touch', 'cumulative', 'recoveries', 'rise', 'patients', 'discharge', 'state', 'recovery', 'rate', 'rise', 'case', 'fatality', 'rate', 'say', 'state', 'surveillance', 'officer', 'dr', 'pradeep', 'awate', 'pune', 'report', 'nearly', 'case', 'case', 'load', 'deaths', 'saw', 'toll', 'climb', 'pune', 'district', 'administration', 'say', 'number', 'active', 'case', 'rise', 'mumbai', 'report', 'case', 'tally', 'active', 'deaths', 'city', 'toll', 'rise', 'mumbai', 'metropolitan', 'region', 'thane', 'report', 'seven', 'deaths', 'toll', 'surge', 'nearly', 'new', 'case', 'take', 'tally', 'past', 'mark', 'navi', 'mumbai', 'record', 'deaths', 'case', 'take', 'toll', 'tally', 'nagpur', 'report', 'deaths', 'push', 'toll', 'new', 'case', 'take', 'case', 'load', 'active', 'western', 'maharashtra', 'sangli', 'report', 'case', 'total', 'case', 'tally', 'active', 'deaths', 'toll', 'rise', 'satara', 'report', 'fatalities', 'toll', 'fresh', 'case', 'saw', 'tally', 'rise', 'active', 'kolhapur', 'report', 'deaths', 'toll', 'rise', 'case', 'take', 'tally', 'active', 'north', 'maharashtra', 'nashik', 'district', 'report', 'nearly', 'case', 'total', 'tally', 'reach', 'active', 'deaths', 'district', 'total', 'death', 'climb', 'jalgaon', 'report', 'case', 'deaths', 'district', 'case', 'load', 'rise', 'active', 'death', 'toll', 'climb', 'ahmednagar', 'report', 'new', 'case', 'tally', 'rise', 'active', 'deaths', 'take', 'total', 'death', 'toll', 'total', 'laboratory', 'sample', 'test', 'far', 'return', 'positive', 'nearly', 'sample', 'test', 'state', 'hours', 'dr', 'awate', 'say', 'total', 'people', 'state', 'home', 'quarantine', 'institutional', 'quarantine', 'facilities']"
3,3,4.0,0.5493000149726868,"crore, level, water, land, allege, protest, revenue, september, work, market","['sabbani', 'janakiramulu', 'oustee', 'mamidyala', 'village', 'mulugu', 'mandal', 'attempt', 'suicide', 'douse', 'kerosene', 'revenue', 'divisional', 'office', 'rdo', 'gajwel', 'thursday', 'mr', 'janakiramulu', 'allege', 'past', 'years', 'deny', 'rehabilitation', 'resettlement', 'r', 'benefit', 'repeat', 'appeal', 'officials', 'fail', 'yield', 'result', 'mr', 'janakiramulu', 'come', 'rdo', 'office', 'kerosene', 'bottle', 'present', 'spot', 'throw', 'away', 'kerosene', 'bottle', 'inform', 'police', 'police', 'immediately', 'shift', 'station', 'register', 'case', 'investigate', 'accord', 'source', 'narasmihulu', 'janakiramulu', 'harikrishna', 'brothers', 'house', 'spread', 'yards', 'acres', 'land', 'land', 'house', 'acquire', 'government', 'kodapochammasagar', 'reservoir', 'give', 'compensation', 'offer', 'r', 'package', 'give', 'away', 'land', 'house', 'construction', 'kondapochamma', 'reservoir', 'list', 'house', 'allot', 'plus', 'oustees', 'village', 'second', 'list', 'name', 'persons', 'identify', 'allotment', 'persons', 'remain', 'wait', 'name', 'second', 'list', 'mean', 'eligible', 'house', 'despite', 'move', 'revenue', 'offices', 'allot', 'house', 'officials', 'respond', 'properly', 'brother', 'harikirshna', 'migrate', 'kukatpally', 'decade', 'live', 'migrate', 'village', 'get', 'r', 'package', 'question', 'mr', 'janakiramulu', 'tell', 'hindu', 'janakiramulu', 'eligible', 'r', 'package', 'stay', 'village', 'past', 'half', 'decade', 'compensations', 'pay', 'case', 'register', 'create', 'nuisance', 'gajwel', 'police', 'station', 'say', 'rdo', 'vijayender', 'reddy', 'listen', 'case', 'emotional', 'breakdowns', 'hyderabad', 'base', 'suicide', 'intervention', 'centre', 'roshni']"
4,4,2.0,0.9958000183105469,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['central', 'bureau', 'investigation', 'register', 'case', 'senior', 'bank', 'official', 'include', 'functionary', 'dravida', 'munnetra', 'kazhagam', 'connection', 'seizure', 'crore', 'income', 'tax', 'department', 'run', 'lok', 'sabha', 'election', 'vellore', 'search', 'conduct', 'premise', 'trio', 'investigators', 'seize', 'certain', 'document', 'relate', 'case', 'source', 'agency', 'say', 'thursday', 'couple', 'days', 'ago', 'cbi', 'anti', 'corruption', 'branch', 'register', 'case', 'dayanidhi', 'senior', 'manager', 'canara', 'bank', 'vellore', 'dmk', 'functionary', 'poonjolai', 'srinivasan', 'brother', 'damodaran', 'connection', 'seizure', 'wad', 'newly', 'print', 'currency', 'denomination', 'case', 'register', 'section', 'criminal', 'conspiracy', 'cheat', 'falsification', 'account', 'provision', 'prevention', 'corruption', 'act', 'agency', 'say', 'reliable', 'information', 'receive', 'income', 'tax', 'department', 'conduct', 'search', 'premise', 'mr', 'damodaran', 'vellore', 'april', 'seize', 'crore', 'course', 'investigation', 'mr', 'srinivasan', 'claim', 'money', 'belong', 'mean', 'distribution', 'voters', 'vellore', 'parliamentary', 'constituency', 'ahead', 'election', 'base', 'seizure', 'election', 'cancel', 'vellore', 'lok', 'sabha', 'constituency', 'case', 'register', 'kathir', 'anand', 'candidate', 'son', 'senior', 'dmk', 'leader', 'duraimurugan', 'provision', 'ipc', 'representation', 'people', 'act', 'relate', 'distribution', 'cash', 'voters', 'cbi', 'say', 'information', 'report', 'cash', 'denomination', 'obtain', 'currency', 'chest', 'canara', 'bank', 'vellore', 'exchange', 'note', 'denominations', 'mr', 'dayanidhi', 'allegedly', 'collude', 'accuse', 'persons', 'abuse', 'official', 'position', 'commit', 'offence', 'criminal', 'misconduct', 'currency', 'obtain', 'facilitate', 'easy', 'distribution', 'currency', 'note', 'voters', 'vellore', 'parliamentary', 'constituency', 'parliament', 'election', 'hold', 'agency', 'say', 'add', 'activity', 'promote', 'corruption', 'formal', 'note', 'cbi', 'bank', 'authorities', 'confirm', 'senior', 'manager', 'exchange', 'currency', 'note', 'chest', 'follow', 'procedures', 'search', 'come', 'couple', 'days', 'mr', 'anand', 'later', 'contest', 'win', 'election', 'complain', 'persons', 'pose', 'police', 'officials', 'barge', 'room', 'tamil', 'nadu', 'house', 'new', 'delhi', 'question', 'issue', 'party', 'plan', 'raise', 'parliament', 'parry', 'question', 'nature', 'seizures', 'premise', 'trio', 'thursday', 'cbi', 'official', 'say', 'agency', 'summon', 'soon', 'question', 'investigator', 'refuse', 'comment', 'role', 'mp', 'case', 'question']"
5,5,4.0,0.9912999868392944,"crore, level, water, land, allege, protest, revenue, september, work, market","['year', 'old', 'youngster', 'gundala', 'village', 'ranga', 'reddy', 'district', 'thursday', 'admit', 'kill', 'father', 'days', 'ago', 'later', 'bury', 'body', 'agriculture', 'field', 'mother', 'lalitha', 'allegedly', 'help', 'shamshabad', 'deputy', 'commissioner', 'police', 'prakash', 'reddy', 'say', 'offence', 'take', 'place', 'night', 'july', 'petty', 'dispute', 'accuse', 'rakesh', 'tell', 'police', 'father', 'kistaiah', 'alias', 'krishna', 'farmer', 'physically', 'abuse', 'lalitha', 'consume', 'liquor', 'fateful', 'night', 'kistaiah', 'pick', 'heat', 'argument', 'follow', 'mother', 'son', 'duo', 'throttle', 'death', 'police', 'say', 'rakesh', 'throttle', 'lalitha', 'hold', 'kistaiah', 'legs', 'm', 'take', 'body', 'field', 'bike', 'kilometres', 'house', 'dig', 'pit', 'bury', 'mr', 'reddy', 'say', 'relatives', 'family', 'members', 'enquire', 'victim', 'sudden', 'disappearance', 'accuse', 'tell', 'kistaiah', 'work', 'hyderabad', 'daily', 'wager', 'owe', 'financial', 'problems', 'day', 'return', 'relatives', 'grow', 'suspicious', 'confront', 'rakesh', 'later', 'confess', 'kill', 'father', 'help', 'mother', 'dcp', 'say', 'say', 'case', 'register', 'victim', 'body', 'exhume', 'friday', 'morning', 'later', 'remnants', 'body', 'send', 'government', 'hospital', 'autopsy']"
6,6,5.0,0.7081000208854675,"farmers, india, bill, health, farm, price, protest, market, patients, care","['tdp', 'polit', 'bureau', 'member', 'leader', 'opposition', 'legislative', 'council', 'yanamala', 'ramakrishnudu', 'demand', 'chief', 'minister', 's', 'jagan', 'mohan', 'reddy', 'spell', 'outcome', 'visit', 'delhi', 'mr', 'jagan', 'visit', 'delhi', 'assume', 'office', 'bounden', 'duty', 'tell', 'people', 'new', 'project', 'bring', 'state', 'mr', 'ramakrishnudu', 'say', 'statement', 'thursday', 'mr', 'ramakrishnudu', 'seek', 'know', 'chief', 'minister', 'maintain', 'silence', 'major', 'issue', 'include', 'visit', 'delhi', 'mr', 'jagan', 'mohan', 'reddy', 'meet', 'union', 'minister', 'solely', 'aim', 'save', 'skin', 'come', 'clean', 'case', 'file', 'visit', 'delhi', 'deeds', 'cost', 'larger', 'interest', 'people', 'say', 'add', 'routine', 'cm', 'commit', 'atrocities', 'state', 'delhi', 'reprimand', 'omissions', 'accuse', 'ysrcp', 'perpetrate', 'loot', 'hoard', 'regime', 'people', 'state', 'mr', 'ramakrishnudu', 'deplore', 'chief', 'minister', 'act', 'desire', 'fashion', 'regard', 'promise', 'reorganisation', 'act', 'amaravati', 'capital', 'issue', 'pending', 'court', 'mr', 'jagan', 'mohan', 'reddy', 'mps', 'repeatedly', 'raise', 'issue', 'central', 'government', 'say', 'mr', 'ramakrishnudu', 'express', 'surprise', 'state', 'government', 'stop', 'development', 'work', 'project', 'ask', 'centre', 'fund', 'mr', 'jagan', 'minimum', 'understand', 'central', 'fund', 'release', 'government', 'show', 'progress', 'project', 'support', 'state', 'go', 'misuse', 'fund', 'way', 'possible', 'say']"
7,7,3.0,0.9919000267982483,"police, test, district, court, report, health, patients, september, positive, accuse","['person', 'accuse', 'child', 'sexual', 'abuse', 'escape', 'recently', 'line', 'treatment', 'centre', 'fltc', 'run', 'convention', 'centre', 'kochi', 'airport', 'throw', 'light', 'challenge', 'face', 'police', 'guard', 'test', 'positive', 'sars', 'cov', 'infect', 'arrest', 'police', 'excise', 'fltc', 'kochi', 'airport', 'infect', 'members', 'public', 'police', 'personnel', 'guard', 'duty', 'centre', 'security', 'remain', 'far', 'foolproof', 'take', 'matter', 'district', 'disaster', 'management', 'authority', 'tough', 'tab', 'accuse', 'mix', 'civilians', 'possible', 'solution', 'separate', 'fltc', 'exclusively', 'arrest', 'arrest', 'increasingly', 'test', 'positive', 'september', 'task', 'get', 'progressively', 'difficult', 'say', 'karthik', 'district', 'police', 'chief', 'centre', 'multiple', 'entries', 'exit', 'point', 'police', 'deploy', 'main', 'entrance', 'metres', 'away', 'facility', 'accuse', 'sight', 'police', 'guard', 'largely', 'depend', 'information', 'health', 'paramedical', 'staff', 'centre', 'petition', 'district', 'police', 'chief', 'plan', 'raise', 'district', 'collector', 'say', 'v', 'sanil', 'district', 'secretary', 'ernakulam', 'rural', 'kerala', 'police', 'association']"
8,8,2.0,0.994700014591217,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['chief', 'minister', 'chandrasekhar', 'rao', 'ask', 'public', 'representatives', 'officials', 'work', 'round', 'clock', 'strict', 'implementation', 'recent', 'legislations', 'enact', 'state', 'government', 'people', 'centric', 'aim', 'welfare', 'meet', 'public', 'representatives', 'municipalities', 'mayors', 'municipal', 'corporations', 'mr', 'rao', 'say', 'objective', 'legislations', 'poor', 'suffer', 'deliverables', 'government', 'fruit', 'legislations', 'mile', 'say', 'ask', 'participants', 'meet', 'involve', 'grassroots', 'level', 'online', 'registration', 'non', 'agriculture', 'properties', 'like', 'plot', 'flats', 'house', 'revolutionary', 'administrative', 'reform', 'state', 'government', 'enact', 'legislations', 'effective', 'use', 'people', 'decades', 'poor', 'adversely', 'affect', 'implementation', 'act', 'say', 'mr', 'rao', 'say', 'government', 'intention', 'fill', 'purse', 'money', 'collect', 'poor', 'regularisation', 'land', 'ask', 'officials', 'prepare', 'solutions', 'problems', 'face', 'people', 'regard', 'land', 'properties', 'dharani', 'portal', 'fully', 'operational', 'government', 'solve', 'problems', 'link', 'residential', 'premise', 'construction', 'sit', 'pile', 'decades', 'mr', 'rao', 'say', 'apprehensions', 'initial', 'days', 'formation', 'telangana', 'people', 'express', 'severe', 'apprehensions', 'land', 'rat', 'drop', 'step', 'take', 'government', 'saw', 'rat', 'agricultural', 'non', 'agriculture', 'land', 'peak', 'good', 'governance', 'lead', 'decline', 'land', 'dispute', 'land', 'grab', 'harassment', 'relate', 'anti', 'social', 'activities', 'say', 'express', 'confidence', 'government', 'aim', 'poor', 'high', 'priority', 'list', 'fulfil', 'dharani', 'portal', 'operational', 'total', 'protection', 'security', 'properties', 'poor', 'hutments', 'urban', 'slum', 'replace', 'build', 'dwell', 'house', 'say', 'interaction', 'follow', 'participants', 'praise', 'mr', 'rao', 'insight', 'problems', 'rural', 'urban', 'areas', 'meet', 'attend', 'minister', 'mlas', 'include', 'majlis', 'ittehadul', 'muslimeen', 'chief', 'secretary', 'somesh', 'kumar', 'senior', 'officials', 'present']"
9,9,3.0,0.9908999800682068,"police, test, district, court, report, health, patients, september, positive, accuse","['cpi', 'maoist', 'charla', 'local', 'guerrilla', 'squad', 'lgs', 'active', 'chennapuram', 'forest', 'stretch', 'straddle', 'restive', 'inter', 'state', 'border', 'chhattisgarh', 'lose', 'commander', 'sodi', 'jogaiah', 'wednesday', 'allege', 'exchange', 'police', 'maoist', 'rebel', 'chennapuram', 'forest', 'area', 'charla', 'mandal', 'police', 'thursday', 'identify', 'body', 'maoists', 'include', 'women', 'cadres', 'kill', 'chennapuram', 'exchange', 'sodi', 'jogaiah', 'kistarampadu', 'madakam', 'malli', 'maoist', 'dalam', 'member', 'chennapuram', 'charla', 'mandal', 'madakam', 'mangi', 'charla', 'lgs', 'member', 'tribal', 'hamlet', 'neighbour', 'andhra', 'pradesh', 'kukunoor', 'mandal', 'jogaiah', 'want', 'connection', 'murder', 'case', 'include', 'kidnap', 'murder', 'mptc', 'member', 'srinivasa', 'rao', 'owe', 'allegiance', 'rule', 'trs', 'besta', 'kothuru', 'village', 'july', 'year', 'police', 'source', 'say', 'sodi', 'jogaiah', 'charla', 'lgs', 'commander', 'outlaw', 'outfit', 'involve', 'case', 'maoist', 'violence', 'bhadrachalam', 'agency', 'say', 'superintendent', 'police', 'sunil', 'dutt', 'jogaiah', 'main', 'accuse', 'murder', 'mptc', 'member', 'srinivasa', 'rao', 'besta', 'kothur', 'want', 'connection', 'murder', 'villager', 'peddamidisileru', 'youth', 'pusuguppa', 'village', 'farmer', 'kurnapalli', 'charla', 'mandal', 'sp', 'say', 'body', 'maoists', 'hand', 'relatives', 'thursday', 'afternoon', 'postmortem', 'government', 'area', 'hospital', 'bhadrachalam', 'say', 'add', 'police', 'try', 'bring', 'body', 'preserve', 'freezers', 'government', 'area', 'hospital', 'postmortem', 'order', 'telangana', 'high', 'court']"
