,News
0,"Domestic workers staged a dharna in front of the AG’s Office here on Thursday demanding a comprehensive law for better working conditions, compensation to domestic workers who have lost jobs, and implementation of the urban employment scheme.
The protest organised under the umbrella of the SEWA-Union was part of a national agitation against the changes brought by the Union government to labour laws.
Inaugurating the protest, Sonia George, general secretary of the SEWA-Union, said the dharna was the first of protests by domestic workers.
In a statement here, the SEWA-Union said domestic workers were among the section of workers who had lost their jobs the most. Though they provided an essential service, they were being kept away from the workplace on the grounds of being virus carriers. The labour bills passed by Parliament did not cover domestic workers.
Ms. George said the Code on Social Security did not define private homes as an establishment or define an employer. Till then, workspaces of domestic workers would not get any recognition and they would not be able to highlight any violation of labour rights in that space.
There were apprehensions that the domestic workers would not get any entitlements if they could not prove they were a worker, though the Union government’s argument was that they were universalising social security benefits, she said."
1,"Twelve-time champion Rafael Nadal will open against Belarus’ Egor Gerasimov in the opening round of the French Open starting on Sunday (Sept. 27).
Gerasimov was a finalist at the Tata Open Maharashtra early this year, losing to Jiri Vesely.
In the draws unveiled on Thursday, the Spaniard was placed in the bottom half of the draw, with US Open champion Dominic Thiem a potential semifinal opponent.
Thiem will have a tough start against Marin Cilic, and finds himself in a quarter that also has Alexander Zverev and Gael Monfils.
Djokovic, the top seed, heads the top half, and will open against Swede Mikael Ymer.
Daniil Medvedev is a potential last four opponent for the Serb, with Stefanos Tsitsipas and Matteo Berrettini rounding off the quarter.
The stand-out match of the first round will be between Andy Murray and Stan Wawrinka (bottom half).
In fact, the Brit's last match at Roland Garros was against Wawrinka, a gruelling five-set semifinal that the latter won in 2017.
Among women, top seed Simona Halep leads the top half with Elina Svitolina, while the bottom has second seed Karolina Pliskova paired with 2020 Australian Open champion Sofia Kenin.
Halep vs Sorribes
Halep will play Spain’s Sara Sorribes first up, while Pliskova will take on a qualifier.
Serena Williams, who is in the same half as Halep and Svitolina, will start against fellow American Kristie Ahn in a rematch of the US Open first round. Another possible rematch is a potential fourth-round clash between the 38-year-old winner of 23 Majors and Victoria Azarenka, a worthy finalist in New York recently.
Gauff vs Konta
Elsewhere, in an exciting contest, 16-year-old Coco Gauff will meet 2019 semifinalist Johanna Konta in the first round."
2,"Maharashtra reported 19,164 new COVID-19 cases on Thursday to take its total case tally to 12,82,963, of which 2,74,993 are active. With 459 deaths, the State’s toll has touched 34,345.
The cumulative recoveries rose to 9,73,214, with 17,184 patients being discharged. “The State’s recovery rate has risen to 75.86%, while its case fatality rate is 2.68%,” said State Surveillance Officer Dr. Pradeep Awate.
Pune reported nearly 4,000 cases to take its case load to 2,74,421, while 49 deaths saw its toll climb to 5,478. The Pune district administration said the number of active cases has risen to 42,200. Mumbai reported 2,163 cases to take its tally to 1,92,427, of which 27,741 are active. With 54 deaths, the city’s toll has risen to 8,658.
In the Mumbai Metropolitan Region, Thane reported seven deaths as its toll surged to 1,789 and nearly 700 new cases took its tally past the 63,000 mark. Navi Mumbai recorded 12 deaths and 313 cases, taking its toll to 850 and tally to 37,569. Nagpur reported 47 deaths, pushing its toll to 1,874, while over 1,500 new cases took its case load to 70,414, of which 18,762 are active.
In western Maharashtra, Sangli reported more than 900 cases to take its total case tally to 34,500, of which 10,912 are active. With 21 deaths, the toll has risen to 1,041. Satara reported 35 fatalities to take its toll to 822. As many as 848 fresh cases saw its tally rise to 32,853, of which 8,813 are active.
Kolhapur reported 23 deaths as its toll rose to 1,219. More than 600 cases took its tally to 40,686, of which 7,942 are active. In north Maharashtra, Nashik district reported nearly 1,200 cases as its total tally reached 69,099, of which 14,748 are active. With 14 deaths, the district’s total death has climbed to 1,193.
Jalgaon reported 483 cases and 29 more deaths. The district’s case load has risen to 45,225, of which 8,031 are active, while the death toll has now climbed to 1,196. Ahmednagar reported 728 new cases as its tally rose to 38,257, of which 8,079 are active. Eleven more deaths took its total death toll to 624.
“Of a total of 61,90,389 laboratory samples tested thus far, 12,82,963 (20.72%) have returned positive. Nearly 84,000 samples were tested across the State in the last 24 hours,” Dr. Awate said. A total of 18,83,912 people across the State are in home quarantine and 34,457 are in institutional quarantine facilities."
3,"Sabbani Janakiramulu, an oustee of Mamidyala village in Mulugu mandal attempted suicide by dousing himself with kerosene before the Revenue Divisional Office (RDO) at Gajwel on Thursday.
Mr. Janakiramulu alleged that for the past few years he has been denied Rehabilitation and Resettlement (R&R) benefits and repeated appeals to officials failed to yield results.
Mr. Janakiramulu came to RDO office with kerosene bottle. However, those present at the spot threw away the kerosene bottle and informed the police. Police immediately shifted him to a station, where they registered a case and are investigating.
According to sources, S. Narasmihulu, S. Janakiramulu and Harikrishna are brothers and had a house spread on 350 yards and three acres of land. The land and house were acquired by the government for Kodapochammasagar reservoir and they were given compensation. However, they were not offered R&R package.
“We gave away our land and house for the construction of Kondapochamma reservoir. In the first list, houses were allotted to about 400 plus oustees of the village. In the second list, names of as many as 181 persons were identified but allotment was made to only 137 persons, while the remaining are still waiting. Our names are in second list which means we are eligible for houses. But, despite moving around Revenue offices, we are not being allotted houses and officials are not responding properly. Myself and my brother Harikirshna have migrated to Kukatpally about a decade back to make a living. But those who migrated well before us from the village got the R&R package and why cannot we is our question,” Mr. Janakiramulu told The Hindu.
“Janakiramulu is not eligible for R&R package as he is not staying in the village for the past one-and-a-half decade. The other compensations were already paid to him. A case was registered against him for creating nuisance at Gajwel police station,” said RDO D. Vijayender Reddy.
(There is always someone to listen at: +914066202000 or 6666 1117 in case of any emotional breakdowns at this Hyderabad-based suicide intervention centre, Roshni.)"
4,"The Central Bureau of Investigation has registered a case against a senior bank official and two others, including a functionary of the Dravida Munnetra Kazhagam, in connection with the seizure of ₹11.48 crore by the Income Tax Department in the run-up to the 2019 Lok Sabha election in Vellore.
Searches were conducted on the premises of the trio and investigators seized certain documents relating to the case, sources in the agency said on Thursday.
A couple of days ago, the CBI’s Anti-Corruption Branch registered a case against Dayanidhi, the then senior manager, Canara Bank, Vellore, DMK functionary ‘Poonjolai’ Srinivasan, his brother Damodaran and others in connection with the seizure of several wads of newly- printed currency of ₹200 denomination. The case was registered under Section 120 (b) (criminal conspiracy), 420 (cheating), 477(A) (falsification of accounts) and other provisions of the Prevention of Corruption Act, 1988.
The agency said reliable information had been received that the Income Tax Department conducted searches on the premises of Mr. Damodaran in Vellore on April 1, 2019, and seized ₹11.48 crore. During the course of investigation, Mr. Srinivasan claimed that the money belonged to him and was meant for distribution to voters in the Vellore Parliamentary constituency ahead of the election. Based on the seizure, the election was cancelled in the Vellore Lok Sabha constituency and a case was registered against D. Kathir Anand (the candidate and son of senior DMK leader Duraimurugan) under the provisions of the IPC and the Representation of the People Act, 1951, relating to distribution of cash to voters.
The CBI said in the First Information Report that the cash in ₹200 denomination was obtained from the currency chest of Canara Bank, Vellore, by exchanging notes of other denominations. Mr. Dayanidhi had allegedly colluded with the accused persons by abusing his official position and hence committed the offence of criminal misconduct.
“The currency was obtained for facilitating easy distribution of currency notes to the voters in the Vellore Parliamentary constituency during the Parliament election which was to be held on 18.04.2019,” the agency said and added that the activity promoted corruption.
In a formal note to the CBI, the bank authorities confirmed that the senior manager had exchanged the currency notes in the chest without following due procedures. The searches come a couple of days after Mr. Anand, who later contested and won the election, complained that two persons posing as police officials barged into his room at Tamil Nadu House, New Delhi, and questioned him on the issues that the party was planning to raise in Parliament.
Parrying questions on the nature of seizures made on the premises of the trio on Thursday, a CBI official said the agency would summon them soon for questioning. The investigator refused to comment on the role of the MP in the case and also whether he would be questioned."
5,"A 22-year-old youngster from Gundala village in Ranga Reddy district, on Thursday admitted to killing his father 50-days ago and later buried his body in their agriculture field. His mother Lalitha allegedly helped him.
Shamshabad Deputy Commissioner of Police N Prakash Reddy said that the offence took place on the night of July 30 over petty disputes. The accused, Rakesh, told police that his father S. Kistaiah alias Krishna, a farmer, was physically abusing Lalitha, and him after consuming liquor.
On the fateful night too, Kistaiah picked up a heated argument with them, following which the mother-son duo throttled him to death, police said.
“While Rakesh was throttling, Lalitha held Kistaiah's legs. After 10 p.m., they took the body to their field on a bike, about two kilometres from the house, where they dug a pit and buried it,” Mr. Reddy said.
When relatives and family members enquired about the victim's sudden disappearance, the accused told them that Kistaiah was working in Hyderabad as a daily wager owing to financial problems.
""Even after 50-day when he did not return, their relatives grew suspicious and confronted Rakesh, who later confessed of killing his father with the help of his mother,"" the DCP said.
He said that a case was registered and the victim's body will be exhumed on Friday morning. Later, the remnants of the body will be sent to the government hospital for autopsy."
6,"TDP Polit Bureau member and Leader of Opposition in the Legislative Council Yanamala Ramakrishnudu has demanded that Chief Minister Y.S. Jagan Mohan Reddy spell out the outcome of his visit to Delhi.
“Mr. Jagan has made many visits to Delhi since he assumed office, and it is his bounden duty to tell people about the new projects he brought for the State,” Mr. Ramakrishnudu said in a statement on Thursday.
Mr. Ramakrishnudu sought to know why the Chief Minister was maintaining silence on all major issues, including his visits to Delhi.
Mr. Jagan Mohan Reddy’s meetings with the Union Ministers were solely aimed at saving his skin and coming clean out of the cases filed against him. All his visits to Delhi and deeds were at the cost of larger interests of the people, he said, adding, “It has become a routine for the CM to commit atrocities in the State and go to Delhi to get reprimanded for his omissions.”
Accusing the YSRCP of perpetrating a “loot and hoard” regime on the people of the State, Mr. Ramakrishnudu deplored that the Chief Minister had not been acting in a desired fashion with regard to promises made in the Reorganisation Act.
Though the Amaravati capital issue was pending before the court, Mr. Jagan Mohan Reddy and his MPs were repeatedly raising the issue with the Central government, he said.
Mr. Ramakrishnudu expressed surprise that the State government had stopped all development works and projects, but was asking the Centre for funds.
“Mr. Jagan has no minimum understanding that Central funds will be released only if the government shows some progress on the projects. There will be no support if the State goes on misusing the funds in every way possible,” he said."
7,"A person accused of child sexual abuse escaped recently from the first-line treatment centre (FLTC) being run at the convention centre of the Kochi airport, throwing light on the challenge being faced by the police in guarding those who have tested positive for SARS-COV-2.
The infected among those arrested by the police and excise are put up at the FLTC at Kochi airport along with other infected members of the public. Though police personnel are put on guard duty at the centre, the security remains far from foolproof.
“We have taken up the matter with the District Disaster Management Authority, that it is really tough to keep a tab on the accused who mix with the civilians. A possible solution is a separate FLTC exclusively for the arrested. With those arrested increasingly testing positive since September, the task is getting progressively difficult,” said K. Karthik, District Police Chief.
While the centre has multiple entries and exit points, police are deployed only at the main entrance, which is more than 100 metres away from the facility. “The accused are not always in the sight of the police guards who have to largely depend on information from health and paramedical staff at the centre. We have already petitioned the District Police Chief and now plan to raise it with the District Collector as well,” said M.V. Sanil, district secretary (Ernakulam Rural) of Kerala Police Association."
8,"Chief Minister K. Chandrasekhar Rao has asked public representatives and officials to work round-the-clock for the strict implementation of the recent legislations enacted by the State government as they were people-centric and aimed at their welfare.
At a meeting with public representatives of municipalities and Mayors of various other municipal corporations, Mr. Rao said the objective of the legislations is to see that the poor do not suffer in the deliverables of the government. The fruits of the legislations should go up to the last mile, he said.
He asked the participants at the meeting to involve themselves at the grassroots level in the online registration of non-agriculture properties like plots, flats and houses.
As part of revolutionary administrative reforms in the State, the government had enacted several legislations for effective use of people for decades. However, the poor should not be adversely affected in the implementation of the Acts, he said.
Mr. Rao said the government has no intention of filling its purse with money collected from poor through regularisation of lands.
He asked officials to prepare solutions for problems faced by people in regard to lands and properties before the Dharani portal becomes fully operational. The government would solve all problems linked to residential premises and construction sites which piled up for several decades, Mr. Rao said.
Apprehensions
In the initial days of formation of Telangana, people expressed severe apprehensions that land rates will drop. But, the steps taken by government saw to it that the rates of both agricultural and non-agriculture lands peaked. Good governance led to decline in land disputes, land grabbing, harassment and other related anti-social activities, he said.
He expressed confidence that the government's aim to put the poor high in the priority list would be fulfilled when Dharani portal becomes operational. There will be total protection and security to the properties of the poor. Hutments in urban slums will be replaced by buildings and dwelling houses, he said.
In the interaction that followed with the participants, some of them praised Mr.Rao for his insight into problems of rural and urban areas. The meeting was attended by Ministers and MLAs, including those from Majlis-e-Ittehadul Muslimeen. Chief Secretary Somesh Kumar and others senior officials were also present."
9,"The CPI (Maoist) Charla Local Guerrilla Squad (LGS), which is active in the Chennapuram forest stretch that straddles along the restive inter-State border with Chhattisgarh, has lost its commander Sodi Jogaiah, 25, in Wednesday’s alleged exchange of fire between the police and the Maoist rebels in Chennapuram forest area of Charla mandal.
The police on Thursday identified the bodies of the three Maoists, including two women cadres - those killed in the Chennapuram “exchange of fire” as Sodi Jogaiah of Kistarampadu, Madakam Malli, 22, Maoist dalam member, of Chennapuram, both from Charla mandal, and Madakam Mangi, 24, Charla LGS member, of a tribal hamlet in neighbouring Andhra Pradesh's Kukunoor mandal.
Jogaiah was wanted in connection with four murder cases, including the kidnap and murder of former MPTC member N Srinivasa Rao, owing allegiance to the ruling TRS, of Besta Kothuru village in July last year, police sources said.
Sodi Jogaiah, the Charla LGS commander of the outlawed outfit, was involved in as many as 26 cases of Maoist violence in Bhadrachalam Agency, said Superintendent of Police Sunil Dutt.
Jogaiah was the main accused in the murder of former MPTC member N Srinivasa Rao of Besta Kothur in 2019 and also wanted in connection with the murder of a villager in Peddamidisileru in 2017, a youth of Pusuguppa village and a farmer in Kurnapalli in Charla mandal in 2018, the SP said.
The bodies of the three Maoists were handed over to their relatives on Thursday afternoon after postmortem at the Government Area Hospital in Bhadrachalam, he said, adding that the police are trying to bring back their bodies and preserve them in freezers at the Government Area Hospital for re-postmortem as per the orders of the Telangana High Court."
